name,count
Healthcare,1087
Financial Services,1055
Technology,783
Industrials,690
Consumer Cyclical,556
Basic Materials,279
Communication Services,275
Real Estate,259
Energy,249
Consumer Defensive,243
(Unclassified),121
Utilities,109
